taxon.name	variable	type	covariate	posterior.prob.neg.slope	standard.linear.model	in.95CI	mean	median	sd	mad	q2.5	q97.5	rhat	ess bulk	ess tail
Anemone quinquefolia	slope	last cessation (CkN): N=500	SpringMonthlyAverageTemp	1			-3.0818300715	-3.077785	0.624893879935287	0.610171443	-4.3531045	-1.8741325	1.00001112710026	4630.63922130513	3007.99507325974
Anemone quinquefolia	slope	last cessation (CkN): N=500	Latitude	0.0705			1.18198774369775	1.188985	0.798210820146542	0.7891397955	-0.4208332	2.71823825	0.999856778684431	3817.28050847158	3306.05652025696
Anemone quinquefolia	slope	last cessation (CkN): N=500	Elevation	0.0005			0.015222251551775	0.01523615	0.00451084926961266	0.00453060321	0.0064687725	0.0239621075	1.00130092100043	3022.00933397494	2963.29355765246
Anemone quinquefolia	slope	last cessation (CkN): N=500	Year	1			-0.0759498192	-0.0760246	0.0157792062639466	0.01558027275	-0.10657025	-0.0454214225	1.00079364982553	4453.41424230684	2937.67203978611
Anemone quinquefolia	slope	last cessation (CkN): N=500	AnnualMonthlyAverageTemp	0.01975			2.6095490020125	2.60946	1.26756062101164	1.26117369	0.13804675	5.0253	1.0003558658071	2530.39639921863	2746.25383603903
Anemone quinquefolia	slope	last cessation (CkN): N=500	FirstQuarterMonthlyAverageTemp	0.893			-0.60913371728025	-0.6097575	0.490890477865472	0.4781881671	-1.590835	0.3731997	1.00102771048796	3249.20701181199	2758.41771397014
Anemone quinquefolia	sigma						7.7734792375	7.760385	0.438630446050823	0.441184695	6.96413625	8.6831495	1.00306873600307	3587.59025473736	2816.97310345093
Camassia scilloides	anchor	onset (O)					116.89689325	116.878	0.650854571907489	0.661239599999997	115.646975	118.15305	1.00246897554449	5498.25370444678	2398.52596168763
Camassia scilloides	anchor	duration (D)					14.445189075	14.4422	0.510309881828696	0.50341683	13.4572775	15.452965	1.00054626122956	3556.77322278293	2852.16807685952
Camassia scilloides	anchor	cessation (C)					131.34207475	131.3445	0.707472389537519	0.699045900000009	129.973975	132.719175	1.00155930595201	5057.97999097397	3177.16029371021
Camassia scilloides	anchor	observed (T)					124.11948475	124.114	0.630049680118395	0.64641360000001	122.889975	125.34605	1.00268206923509	5640.65817993693	2789.93094872702
Camassia scilloides	anchor	first onset (Ok1): N=500					92.3781471	92.4402	1.90243510106128	1.8777129	88.5283975	96.0069475	1.00169670771651	5310.39718115688	3029.93648024514
Camassia scilloides	anchor	last cessation (CkN): N=500					155.86081875	155.766	1.85257993943755	1.80432419999998	152.332975	159.7214	1.00131516163298	5009.17703511327	2843.97690447039
Camassia scilloides	intercept	onset (O)					418.63914175	419.015	53.351644669695	54.1386216	317.080775	522.984725	1.00032780141788	5001.33650500386	3269.72587559085
Camassia scilloides	intercept	duration (D)					-194.411178525	-193.887	36.1958040217697	35.5319916	-267.2847	-124.718875	0.99971920883815	4173.55425435193	2964.95076702199
Camassia scilloides	intercept	cessation (C)					224.2279759875	224.181	55.2491675638845	55.7709642	118.64315	333.45615	1.00032052431356	6514.62446399536	3032.27812112746
Camassia scilloides	intercept	observed (T)			255.475959425981	TRUE	321.433552	321.855	51.2044876151962	52.4981247	223.23045	420.479	1.00055512399194	5906.73115578168	3254.72112251552
Camassia scilloides	intercept	first onset (Ok1): N=500					394.12039725	394.707	53.3589927494115	54.1401042	292.129075	498.118275	1.00034221997429	5027.72763206582	2874.6968534845
Camassia scilloides	intercept	last cessation (CkN): N=500					248.74669875	248.756	55.3315443565606	55.8480594	143.691725	357.538625	1.00031149518617	6430.60663512826	3008.2760031381
Camassia scilloides	slope	onset (O)	SpringMonthlyAverageTemp	1			-4.12078818	-4.11409	0.679188212279897	0.700758303	-5.4307955	-2.805965	1.00000269035776	4203.71858709061	3120.40861804753
Camassia scilloides	slope	onset (O)	Latitude	0.88925			-0.879712953691075	-0.8728065	0.744311168131386	0.7431058068	-2.34415175	0.604538025	1.00094905145045	3358.26092348378	3073.27803488968
Camassia scilloides	slope	onset (O)	Elevation	0.09925			0.0099639395421225	0.00983615	0.00766332149814834	0.007658333235	-0.00489460775	0.024792015	1.00289017214151	4803.96952814943	2784.99852590802
Camassia scilloides	slope	onset (O)	Year	1			-0.11907249605	-0.1195795	0.024193431782636	0.0245303583	-0.16619885	-0.071862115	1.00035246496902	3912.11558654703	3062.69042042689
Camassia scilloides	slope	onset (O)	AnnualMonthlyAverageTemp	0.09125			1.5535288009485	1.5677	1.14956550790687	1.155679287	-0.726099025	3.77962	1.00113121940442	2318.64630476504	2830.7081475289
Camassia scilloides	slope	onset (O)	FirstQuarterMonthlyAverageTemp	0.992			-1.33134144645	-1.331475	0.532475385714085	0.5223385125	-2.373572	-0.27280005	1.0022013656501	2919.13730552613	2616.16237086075
Camassia scilloides	slope	duration (D)	SpringMonthlyAverageTemp	0.01775			0.9874338778	0.985855	0.47794959233919	0.4796077566	0.0485968075	1.9050715	1.00135918930948	3783.67423188214	3092.55175326869
